"Herroepen","Withdraw from contract here"
"Withdraw from Contract","Withdraw from Contract"
"Confirm Withdrawal","Confirm Withdrawal"
"Withdrawal Confirmed","Withdrawal Confirmed"
"You have the right to withdraw from your contract within 14 days without giving any reason. Please enter your order details below to start the withdrawal process.","You have the right to withdraw from your contract within 14 days without giving any reason. Please enter your order details below to start the withdrawal process."
"Order Details","Order Details"
"Order Number","Order Number"
"Email Address","Email Address"
"Postcode","Postcode"
"Comment (optional)","Comment (optional)"
"Continue","Continue"
"e.g. 100000001","e.g. 100000001"
"Email used for the order","Email used for the order"
"Billing or shipping postcode","Billing or shipping postcode"
"Optional — you do not need to give a reason","Optional — you do not need to give a reason"
"Please fill in all required fields.","Please fill in all required fields."
"We could not find an order matching the details you entered. Please check and try again.","We could not find an order matching the details you entered. Please check and try again."
"Please review your order details below and confirm your withdrawal.","Please review your order details below and confirm your withdrawal."
"Order Summary","Order Summary"
"Order Information","Order Information"
"Order Date","Order Date"
"Items Ordered","Items Ordered"
"Items in this order","Items in this order"
"Product","Product"
"Qty","Qty"
"Cancel","Cancel"
"Your withdrawal request has been received and confirmed.","Your withdrawal request has been received and confirmed."
"Withdrawal Details","Withdrawal Details"
"Withdrawal Date/Time","Withdrawal Date/Time"
"A confirmation email has been sent to you. This serves as your official acknowledgement of withdrawal. You have 14 days to return any goods received. You will be refunded in accordance with the law.","A confirmation email has been sent to you. This serves as your official acknowledgement of withdrawal. You have 14 days to return any goods received. You will be refunded in accordance with the law."
"Continue Shopping","Continue Shopping"
"Withdraw from contract","Withdraw from contract"
"Withdraw from contract here","Withdraw from contract here"
"Withdrawal Information","Withdrawal Information"
"Withdrawal Requests","Withdrawal Requests"
"A total of %1 request(s) have been updated.","A total of %1 request(s) have been updated."
"Return","Return"
"Return a Product","Return a Product"
"Want to return your order? No problem. Under EU law you have the right to withdraw from your purchase within 14 days — no reason needed.","Want to return your order? No problem. Under EU law you have the right to withdraw from your purchase within 14 days — no reason needed."
"Simply fill in your order details below and we will process your return. You will receive a confirmation email with further instructions.","Simply fill in your order details below and we will process your return. You will receive a confirmation email with further instructions."
"By clicking the button below, I formally withdraw from the contract for the above order in accordance with EU Directive 2011/83/EU (Article 11). This withdrawal is within the 14-day cooling-off period.","By clicking the button below, I formally withdraw from the contract for the above order in accordance with EU Directive 2011/83/EU (Article 11). This withdrawal is within the 14-day cooling-off period."
"Return my order","Return my order"
"Your return confirmation — Order %increment_id","Your return confirmation — Order %increment_id"
"Thank you for letting us know. We have received your return request for order %increment_id on %requested_at.","Thank you for letting us know. We have received your return request for order %increment_id on %requested_at."
"What do you need to do?","What do you need to do?"
"Send the product(s) back within 14 days of this email. Please make sure items are in their original condition and packaging where possible.","Send the product(s) back within 14 days of this email. Please make sure items are in their original condition and packaging where possible."
"Include your order number (%increment_id) with the return shipment so we can process it quickly.","Include your order number (%increment_id) with the return shipment so we can process it quickly."
"Keep your tracking number — we recommend using a tracked shipping method so you have proof of return.","Keep your tracking number — we recommend using a tracked shipping method so you have proof of return."
"Your refund","Your refund"
"Once we receive the returned items, we will refund your payment — including the original delivery costs — within 14 days. If you chose an express delivery option, we will refund the standard delivery cost.","Once we receive the returned items, we will refund your payment — including the original delivery costs — within 14 days. If you chose an express delivery option, we will refund the standard delivery cost."
"This email serves as your official confirmation of withdrawal on a durable medium, in accordance with EU Directive 2011/83/EU (Article 11) and Directive (EU) 2023/2673. You have exercised your right to withdraw from this contract within the 14-day cooling-off period.","This email serves as your official confirmation of withdrawal on a durable medium, in accordance with EU Directive 2011/83/EU (Article 11) and Directive (EU) 2023/2673. You have exercised your right to withdraw from this contract within the 14-day cooling-off period."
"If you have any questions about your return, feel free to contact us. We are happy to help.","If you have any questions about your return, feel free to contact us. We are happy to help."
"A customer has submitted a return request.","A customer has submitted a return request."
"New return request — Order %increment_id","New return request — Order %increment_id"
"Requested on:","Requested on:"
"Please process this return request in your admin panel under Cloudgento > Returns > Return Requests.","Please process this return request in your admin panel under Cloudgento > Returns > Return Requests."
